"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","OTU","Species2"
"74426",7215.87157449839,-13.380821005453,0.394527055005364,-33.9161049557705,3.85668099190799e-252,1.38840515708688e-249,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","aerofaciens","74426","Collinsella aerofaciens 74426"
"2109687",5407.48007242525,-13.0234546198304,0.384679487226857,-33.8553394508144,3.0285835440189e-251,5.45145037923402e-249,"Bacteria","Firmicutes","Clostridia","Clostridiales","Oscillospiraceae","Oscillibacter","sp. PEA192","2109687","Oscillibacter sp. PEA192 2109687"
"853",66238.0121940934,-10.4702811954816,0.313438822418109,-33.4045448317658,1.17771662203404e-244,1.41325994644085e-242,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii","853","Faecalibacterium prausnitzii 853"
"2109688",3050.1810630915,-9.80219028386492,0.300936732415969,-32.5722626319869,1.01349252657449e-232,9.12143273917045e-231,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Acutalibacter","Clostridiales bacterium CCNA10","2109688","Acutalibacter Clostridiales bacterium CCNA10 2109688"
"1912897",5907.78144477873,-8.93674395040697,0.309456012209457,-28.8788829358987,2.19907042450894e-183,1.58333070564644e-181,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","sp. N6H1-15","1912897","Blautia sp. N6H1-15 1912897"
"1680",17422.2933598107,-14.7156699787423,0.526451834446649,-27.952547632795,6.13862601018702e-172,3.68317560611221e-170,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","adolescentis","1680","Bifidobacterium adolescentis 1680"
"881",2159.04797279779,-12.1820325062338,0.438754579361815,-27.765026461839,1.14759902060464e-169,5.90193782025245e-168,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","vulgaris","881","Desulfovibrio vulgaris 881"
"33035",2448.39538159363,-10.840605157157,0.391760214809847,-27.6715315832131,1.53720881080463e-168,6.91743964862083e-167,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","producta","33035","Blautia producta 33035"
"1796616",16117.4044516794,-10.8911414866197,0.418322827888415,-26.0352549766298,1.97627782639553e-149,7.6567473463977e-148,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","sp. YL58","1796616","Blautia sp. YL58 1796616"
"487",15625.0504101396,8.06430724664162,0.309779175145179,26.0324382452831,2.12687426288825e-149,7.6567473463977e-148,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","meningitidis","487","Neisseria meningitidis 487"
"1297617",1993.53388428289,-9.5847738522347,0.371225161705783,-25.8193000932172,5.38421704062097e-147,1.76210739511232e-145,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas","butyriciproducens","1297617","Intestinimonas butyriciproducens 1297617"
"1834205",12282.5777890443,-14.8588489293341,0.576884646256977,-25.7570539027921,2.68722518649794e-146,8.06167555949383e-145,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Roseateles","Burkholderiales bacterium YL45","1834205","Roseateles Burkholderiales bacterium YL45 1834205"
"292800",3260.37415302053,-10.4514735604784,0.408429912483348,-25.5893930415896,2.0021961067972e-144,5.54454306497687e-143,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flavonifractor","plautii","292800","Flavonifractor plautii 292800"
"29546",1555.85532811188,-11.4738122796332,0.450826924723704,-25.4505923457546,6.95370506178158e-143,1.78809558731526e-141,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Lawsonia","intracellularis","29546","Lawsonia intracellularis 29546"
"1019",1525.70120016908,9.18991632156964,0.363727510622699,25.265936870809,7.56782911913901e-141,1.81627898859336e-139,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","sputigena","1019","Capnocytophaga sputigena 1019"
"1160721",3164.69804467077,-8.71926802432432,0.347465095977554,-25.0939392913514,5.79174630207092e-139,1.30314291796596e-137,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","bicirculans","1160721","Ruminococcus bicirculans 1160721"
"851",2674.62142675716,7.63595015915111,0.312682152231775,24.4208059355142,1.02826124568819e-131,2.17749440263381e-130,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","nucleatum","851","Fusobacterium nucleatum 851"
"1532",6439.59178501319,-9.10019565637815,0.379528034354588,-23.9776639210688,4.75633458664043e-127,9.51266917328086e-126,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","coccoides","1532","Blautia coccoides 1532"
"253239",1555.59255526306,-11.9542079877798,0.502030567543982,-23.8117133908038,2.5258165176798e-125,4.78575761244594e-124,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ethanoligenens","harbinense","253239","Ethanoligenens harbinense 253239"
