"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","OTU","Species2"
"2494234",46673.986535455,-13.5811751993604,0.415410795815237,-32.6933612129833,1.94076314373281e-234,6.65681758300353e-232,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella","megalosphaeroides","2494234","Sutterella megalosphaeroides 2494234"
"2364787",8784.50567836074,-11.3298442396403,0.35856873704023,-31.5974123487768,4.00697304163693e-219,6.87195876640734e-217,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","sp. Marseille-P5997","2364787","Alistipes sp. Marseille-P5997 2364787"
"2109687",9680.40940015962,-13.2445979252155,0.438192611166196,-30.2255163316575,1.09475478310921e-200,1.25166963535486e-198,"Bacteria","Firmicutes","Clostridia","Clostridiales","Oscillospiraceae","Oscillibacter","sp. PEA192","2109687","Oscillibacter sp. PEA192 2109687"
"328814",19243.418182768,-12.3227946060309,0.438324945841593,-28.1133773538051,6.72286846542922e-174,5.76485970910555e-172,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","shahii","328814","Alistipes shahii 328814"
"853",90687.1307002204,-10.4954323788268,0.375982192151403,-27.9147060629946,1.76900878858045e-171,1.21354002896619e-169,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii","853","Faecalibacterium prausnitzii 853"
"2109688",5144.09989248977,-10.8915435042225,0.434670213810003,-25.0570275077171,1.46359678738951e-138,8.36689496791004e-137,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Acutalibacter","Clostridiales bacterium CCNA10","2109688","Acutalibacter Clostridiales bacterium CCNA10 2109688"
"33035",1551.56323420805,-9.78767912290329,0.390847834782848,-25.0421730706049,2.1246047755587e-138,1.04105634002376e-136,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","producta","33035","Blautia producta 33035"
"1796616",14886.8738138617,-11.2776392095876,0.456291147782726,-24.7158842865777,7.21853260515508e-135,3.09494585446024e-133,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","sp. YL58","1796616","Blautia sp. YL58 1796616"
"2507162",4874.28884056362,-10.9715290601726,0.44435383283508,-24.6909742854512,1.33700780329437e-134,5.09548529477743e-133,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Caproiciproducens","sp. NJN-50","2507162","Caproiciproducens sp. NJN-50 2507162"
"29343",1208.30795967737,-10.5171152305646,0.434286624546712,-24.2169908906172,1.47345403112783e-129,5.05394732676845e-128,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","[Clostridium] cellulosi","29343","Faecalibacterium [Clostridium] cellulosi 29343"
"253239",2496.14854975326,-12.0500750346771,0.504429663670945,-23.888513904959,4.03190744334853e-126,1.25722204824413e-124,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ethanoligenens","harbinense","253239","Ethanoligenens harbinense 253239"
"1379",2270.6892716357,11.6402661105681,0.489980498681771,23.7565906028602,9.39260479766037e-125,2.68471953799792e-123,"Bacteria","Firmicutes","Bacilli","Bacillales",NA,"Gemella","haemolysans","1379","Gemella haemolysans 1379"
