"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","OTU","Species2"
"853",68354.7310519796,-10.2479966136643,0.36233930385038,-28.2828732758619,5.61376696684541e-176,1.92552206962797e-173,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii","853","Faecalibacterium prausnitzii 853"
"2109687",6432.44795218973,-12.5413687456175,0.478319773494798,-26.219632640284,1.58729604440739e-151,2.72221271615867e-149,"Bacteria","Firmicutes","Clostridia","Clostridiales","Oscillospiraceae","Oscillibacter","sp. PEA192","2109687","Oscillibacter sp. PEA192 2109687"
"2494234",34846.7551398656,-13.4657396233169,0.518109140725721,-25.9901603057134,6.39795339827143e-149,7.314993385357e-147,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella","megalosphaeroides","2494234","Sutterella megalosphaeroides 2494234"
"2364787",13496.9381143075,-11.3339259923884,0.448576439134267,-25.266431768602,7.47364286877418e-141,6.40864875997386e-139,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","sp. Marseille-P5997","2364787","Alistipes sp. Marseille-P5997 2364787"
"2109688",3544.56451376533,-10.2122779734801,0.414977586558182,-24.6092278336779,1.00623212712122e-133,6.90275239205158e-132,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Acutalibacter","Clostridiales bacterium CCNA10","2109688","Acutalibacter Clostridiales bacterium CCNA10 2109688"
"33035",1355.09788772158,-9.50188717811416,0.395179359418414,-24.0444925871081,9.53205584164106e-128,5.44915858947147e-126,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","producta","33035","Blautia producta 33035"
"1912897",5031.52797977602,-8.45515393129738,0.356101412754861,-23.7436685967822,1.27733905561846e-124,6.25896137253044e-123,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","sp. N6H1-15","1912897","Blautia sp. N6H1-15 1912897"
"29360",608.359559628672,-7.52336533868152,0.321468607119439,-23.4031105123938,3.97302429511866e-121,1.70343416653213e-119,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cellulosilyticum","lentocellum","29360","Cellulosilyticum lentocellum 29360"
"851",4352.04833646625,7.99863679990922,0.349810056646691,22.8656570842612,1.02103592320277e-115,3.89128135176166e-114,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","nucleatum","851","Fusobacterium nucleatum 851"
"253239",1742.75086705421,-11.1726286391504,0.490129730104641,-22.7952477740231,5.11085352256784e-115,1.75302275824077e-113,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ethanoligenens","harbinense","253239","Ethanoligenens harbinense 253239"
"1161942",7716.89279486267,-8.41309111576856,0.376064130199654,-22.3714266800772,7.47089925114274e-111,2.32956222103815e-109,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","champanellensis","1161942","Ruminococcus champanellensis 1161942"
"1680",13105.5753156968,-13.9517851367697,0.625763830956785,-22.2956080977668,4.07596393097352e-110,1.1650463569366e-108,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","adolescentis","1680","Bifidobacterium adolescentis 1680"
"1572656",4006.43746331888,-8.17391531220401,0.372731637154749,-21.9297599060806,1.35138561737874e-106,3.56557897508391e-105,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","Ruminococcaceae bacterium CPB6","1572656","Faecalibacterium Ruminococcaceae bacterium CPB6 1572656"
"33952",397.003068889041,-9.85374579160181,0.449636120678051,-21.9149337396256,1.87166485314881e-106,4.58557889021457e-105,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Acetobacterium","woodii","33952","Acetobacterium woodii 33952"
"216816",12977.4924359995,-12.4985835609652,0.591277449323749,-21.1382720163942,3.53795924977069e-99,8.09013348447563e-98,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","longum","216816","Bifidobacterium longum 216816"
"2507162",4799.34880442012,-10.0557361124743,0.486307110663317,-20.6777484679555,5.49461311395054e-95,1.17790768630315e-93,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Caproiciproducens","sp. NJN-50","2507162","Caproiciproducens sp. NJN-50 2507162"
"74426",11267.9247545096,-13.51801820598,0.657735766982123,-20.5523538244004,7.33204504669312e-94,1.4793479123622e-92,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","aerofaciens","74426","Collinsella aerofaciens 74426"
"1796616",16338.3463162368,-10.6701654253364,0.521465978237241,-20.4618630373658,4.7103663378934e-93,8.97586474387465e-92,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","sp. YL58","1796616","Blautia sp. YL58 1796616"
"1297617",2394.35745228674,-9.58826874740004,0.470629717016749,-20.3732752113033,2.887083701871e-92,5.21194584074606e-91,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas","butyriciproducens","1297617","Intestinimonas butyriciproducens 1297617"
"1532",4837.06332575381,-8.62868581399767,0.423963694979978,-20.3524167662639,4.41939873079374e-92,7.57926882331126e-91,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","coccoides","1532","Blautia coccoides 1532"
"29546",912.196925752966,-10.8839330091359,0.541304032238254,-20.1068759161679,6.42448992884158e-90,1.04933335504413e-88,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Lawsonia","intracellularis","29546","Lawsonia intracellularis 29546"
"1160721",5104.01775223122,-9.13911658517236,0.455745521072762,-20.0531133332043,1.89600459218909e-89,2.95604352327662e-88,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","bicirculans","1160721","Ruminococcus bicirculans 1160721"
"1834205",1782.49059043295,-12.1936094900829,0.613849770921561,-19.864159062529,8.31327549767758e-88,1.23976238943627e-86,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Roseateles","Burkholderiales bacterium YL45","1834205","Roseateles Burkholderiales bacterium YL45 1834205"
"860",6469.36665698148,11.5736343571109,0.583477802140239,19.8356035390857,1.46744635335606e-87,2.09722541333804e-86,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","periodonticum","860","Fusobacterium periodonticum 860"
"214856",32718.9817544622,-8.61644910113925,0.434844724954423,-19.815002014897,2.20999245550102e-87,3.0321096489474e-86,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii","214856","Alistipes finegoldii 214856"
"199",6649.99458308741,10.5049629173035,0.535313252923806,19.6239544975336,9.65427198924222e-86,1.27362126627311e-84,"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","concisus","199","Campylobacter concisus 199"
"29391",1278.61224687675,9.76505608784165,0.501640700234233,19.4662356608664,2.12312233522402e-84,2.69715170734014e-83,"Bacteria","Firmicutes","Bacilli","Bacillales",NA,"Gemella","morbillorum","29391","Gemella morbillorum 29391"
"818",10104.9277177675,-9.81377208410295,0.51016838325851,-19.2363392286702,1.83735537040438e-82,2.25076032874536e-81,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","thetaiotaomicron","818","Bacteroides thetaiotaomicron 818"
"290053",17976.6395525515,-9.04219651029458,0.470750827090699,-19.208031064282,3.17065069252731e-82,3.7501144397823e-81,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","helcogenes","290053","Bacteroides helcogenes 290053"
"488",7064.45352528856,12.0007121619705,0.62856688454127,19.0921800958838,2.93271057951022e-81,3.35306576257335e-80,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","mucosa","488","Neisseria mucosa 488"
"712633",644.59336475813,9.09221124314587,0.477840601324611,19.0277076036267,1.00556376658356e-80,1.11260765141342e-79,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","sp. oral taxon 431","712633","Streptococcus sp. oral taxon 431 712633"
"901",2287.45603769535,-13.1772673690456,0.696900945819993,-18.9083792296204,9.73016323235217e-80,1.04295187146775e-78,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","piger","901","Desulfovibrio piger 901"
"39488",5960.47382073245,-7.34388046673044,0.388500027355117,-18.903165893519,1.07409877132082e-79,1.11641175322133e-78,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium","[Eubacterium] hallii","39488","Eubacterium [Eubacterium] hallii 39488"
"84030",665.227067067811,-7.74896684129959,0.413417403966835,-18.7436880183235,2.17981976153446e-78,2.13622336630377e-77,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","[Clostridium] saccharolyticum","84030","Lachnoclostridium [Clostridium] saccharolyticum 84030"
"292800",3913.7193868343,-9.95169645202182,0.530923558710384,-18.744122932112,2.16207225596135e-78,2.13622336630377e-77,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flavonifractor","plautii","292800","Flavonifractor plautii 292800"
"884684",507.96913252068,-8.0768450972537,0.431494313428135,-18.7183117967067,3.51103672279311e-78,3.34523776643899e-77,"Bacteria","Firmicutes","Clostridia","Clostridiales","Hungateiclostridiaceae","Mageeibacillus","indolicus","884684","Mageeibacillus indolicus 884684"
"1712675",1212.73405716454,-9.38519218812286,0.503237802547209,-18.6496168225407,1.27185520395446e-77,1.17904414853075e-76,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter","sp. H121","1712675","Turicibacter sp. H121 1712675"
"288965",584.888889814336,-7.62292988875503,0.410195959910016,-18.5836298593172,4.35992746773016e-77,3.93540821429327e-76,"Bacteria","Firmicutes","Clostridia","Clostridiales","Hungateiclostridiaceae","Hungateiclostridium","clariflavum","288965","Hungateiclostridium clariflavum 288965"
"29343",1315.19700926629,-9.52902497568727,0.522021968887889,-18.2540688775758,1.92057249656829e-74,1.6891188880075e-73,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","[Clostridium] cellulosi","29343","Faecalibacterium [Clostridium] cellulosi 29343"
