"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","OTU","Species2"
"853",61340.5072562665,-10.9511874793548,0.297797585099305,-36.773929767439,4.82067342295222e-296,1.78364916649232e-293,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii","853","Faecalibacterium prausnitzii 853"
"292800",2482.3593677174,-11.4029037705413,0.35188257613164,-32.4054231269338,2.30200436289859e-230,4.25870807136239e-228,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flavonifractor","plautii","292800","Flavonifractor plautii 292800"
"2109687",5765.63153344179,-12.9939770301414,0.406186428393026,-31.9901801779758,1.49339461781505e-224,1.73494605700826e-222,"Bacteria","Firmicutes","Clostridia","Clostridiales","Oscillospiraceae","Oscillibacter","sp. PEA192","2109687","Oscillibacter sp. PEA192 2109687"
"2494234",45324.203312701,-13.1932559647451,0.412507585260757,-31.9830627027265,1.87561735892785e-224,1.73494605700826e-222,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella","megalosphaeroides","2494234","Sutterella megalosphaeroides 2494234"
"884684",569.467435722156,-9.85352352714807,0.322101869616282,-30.5913267094243,1.59637515439279e-205,1.18131761425067e-203,"Bacteria","Firmicutes","Clostridia","Clostridiales","Hungateiclostridiaceae","Mageeibacillus","indolicus","884684","Mageeibacillus indolicus 884684"
"290053",10021.8834777389,-9.52923020145532,0.319284786951875,-29.8455504016596,1.00271078901024e-195,6.18338319889646e-194,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","helcogenes","290053","Bacteroides helcogenes 290053"
"2109688",2550.42294586655,-10.7984964302784,0.362062321446566,-29.8249660089861,1.85435362552523e-195,9.80158344920479e-194,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Acutalibacter","Clostridiales bacterium CCNA10","2109688","Acutalibacter Clostridiales bacterium CCNA10 2109688"
"1912897",3876.75847073569,-8.57291120390427,0.292823413556088,-29.2767272254416,2.05211588712417e-188,9.49103597794929e-187,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","sp. N6H1-15","1912897","Blautia sp. N6H1-15 1912897"
"1532",5183.8703397653,-9.62065230059727,0.339319648433488,-28.3527710376108,7.73683322827289e-177,3.18069810495663e-175,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","coccoides","1532","Blautia coccoides 1532"
"39488",4365.34191733798,-8.01738205525006,0.287132711643966,-27.9222176022609,1.4339607835143e-171,5.30565489900292e-170,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium","[Eubacterium] hallii","39488","Eubacterium [Eubacterium] hallii 39488"
"2364787",9689.34846949268,-11.6641354257097,0.423345131243182,-27.5523079513331,4.15238622009921e-167,1.39671172857883e-165,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","sp. Marseille-P5997","2364787","Alistipes sp. Marseille-P5997 2364787"
"1796616",10056.000975961,-10.7701976666791,0.391636083725051,-27.5005243751756,1.73046582618979e-166,5.33560296408517e-165,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","sp. YL58","1796616","Blautia sp. YL58 1796616"
"1297617",1979.88852978171,-9.67087040810777,0.353930401118152,-27.3242150930102,2.18734928391925e-164,6.22553257730863e-163,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas","butyriciproducens","1297617","Intestinimonas butyriciproducens 1297617"
"818",3050.42899857645,-9.31061766093685,0.342446820570395,-27.1885066575554,8.88166549368096e-163,2.34729730904425e-161,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","thetaiotaomicron","818","Bacteroides thetaiotaomicron 818"
"29360",561.330845287,-8.42771302764467,0.3116575030435,-27.0415855397146,4.79702339744732e-161,1.18326577137034e-159,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cellulosilyticum","lentocellum","29360","Cellulosilyticum lentocellum 29360"
"1160721",2603.71333288628,-8.73128491558866,0.332955972317561,-26.2235419740754,1.43243296459267e-151,3.31250123062054e-150,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","bicirculans","1160721","Ruminococcus bicirculans 1160721"
"2507162",2754.48874413337,-9.31769415198225,0.357515142458319,-26.0623762336684,9.74043263652373e-150,2.11997651500811e-148,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Caproiciproducens","sp. NJN-50","2507162","Caproiciproducens sp. NJN-50 2507162"
"253239",1021.63764868704,-11.6767252209144,0.457287754116014,-25.534742874291,8.11202369956361e-144,1.66747153824363e-142,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ethanoligenens","harbinense","253239","Ethanoligenens harbinense 253239"
"1680",45871.8463162087,-15.7181871290546,0.62599701996989,-25.109044656172,3.96167447222757e-139,7.71483976170632e-138,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","adolescentis","1680","Bifidobacterium adolescentis 1680"
"84030",561.066463567635,-8.00763757019114,0.322798787348851,-24.8069010294553,7.55244697540757e-136,1.3972026904504e-134,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","[Clostridium] saccharolyticum","84030","Lachnoclostridium [Clostridium] saccharolyticum 84030"
"33035",1173.64598124069,-9.84339947640912,0.398178477565512,-24.7210736667443,6.34818439360224e-135,1.11848963125373e-133,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","producta","33035","Blautia producta 33035"
"881",1279.87730617048,-10.8169202246206,0.456926021195849,-23.6732418878464,6.80357075001709e-124,1.14423689886651e-122,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","vulgaris","881","Desulfovibrio vulgaris 881"
"29322",1557.84485775523,-5.46674055547556,0.230972107545641,-23.6684014081454,7.6310807818667e-124,1.22760864751769e-122,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium","[Eubacterium] cellulosolvens","29322","Eubacterium [Eubacterium] cellulosolvens 29322"
"74426",19516.5234279989,-14.323685263788,0.615743348403004,-23.2624279270544,1.06489816083649e-119,1.64171799795626e-118,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","aerofaciens","74426","Collinsella aerofaciens 74426"
"33952",331.158969740485,-9.81792129457913,0.423257650358505,-23.1960870317718,4.9866998684039e-119,7.38031580523777e-118,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Acetobacterium","woodii","33952","Acetobacterium woodii 33952"
"1834205",2530.79597020176,-12.2291632793982,0.528042013145696,-23.1594512840855,1.16753999057159e-118,1.66149921735187e-117,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Roseateles","Burkholderiales bacterium YL45","1834205","Roseateles Burkholderiales bacterium YL45 1834205"
"1161942",5405.14614458236,-8.0519125258232,0.353389300610074,-22.7848226075967,6.48448259157409e-115,8.8861428106756e-114,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","champanellensis","1161942","Ruminococcus champanellensis 1161942"
"351091",3859.9771281459,-6.18359195842392,0.27609213632783,-22.3968420132095,4.224851923306e-111,5.58284004151149e-110,"Bacteria","Firmicutes","Clostridia","Clostridiales","Oscillospiraceae","Oscillibacter","valericigenes","351091","Oscillibacter valericigenes 351091"
"29343",906.044278467233,-9.87730628318216,0.444661186988151,-22.2131064554671,2.56571089437318e-109,3.27349321006234e-108,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","[Clostridium] cellulosi","29343","Faecalibacterium [Clostridium] cellulosi 29343"
"1681",7300.0840547717,-14.3832751709311,0.650175664116591,-22.1221370850199,1.93539660908313e-108,2.38698915120253e-107,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","bifidum","1681","Bifidobacterium bifidum 1681"
"29546",861.93090189218,-11.1048321122636,0.504663464652955,-22.0044304572358,2.61178835239403e-107,3.11729577543804e-106,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Lawsonia","intracellularis","29546","Lawsonia intracellularis 29546"
"214856",19892.5908363277,-8.38317230350433,0.387392398469082,-21.6400020667246,7.54998741877475e-104,8.72967295295831e-103,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii","214856","Alistipes finegoldii 214856"
"626937",444.983859913062,-7.50255406252147,0.353069341049987,-21.2495201090238,3.3305208379774e-100,3.73422033348982e-99,"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella","minuta","626937","Christensenella minuta 626937"
"1379",3008.68808116577,9.76307962661318,0.460597978447403,21.1965316468015,1.02798943681644e-99,1.11869438712377e-98,"Bacteria","Firmicutes","Bacilli","Bacillales",NA,"Gemella","haemolysans","1379","Gemella haemolysans 1379"
"185008",2473.9292487528,-6.72559417033028,0.318647262316189,-21.1067062727706,6.90181861282657e-99,7.29620824784523e-98,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio","hungatei","185008","Butyrivibrio hungatei 185008"
"28118",9757.44754442389,-7.64844799719071,0.363550559368576,-21.0381962015812,2.93325191049672e-98,3.01473113023274e-97,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","splanchnicus","28118","Odoribacter splanchnicus 28118"
"216816",8890.75144128724,-11.9158663363152,0.571627715003955,-20.8455014051107,1.67445338674105e-96,1.67445338674105e-95,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","longum","216816","Bifidobacterium longum 216816"
"29370",398.363538520886,-5.56282137638337,0.267122816692114,-20.824957767629,2.57152650375779e-96,2.50385475365891e-95,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","[Clostridium] sphenoides","29370","Lachnoclostridium [Clostridium] sphenoides 29370"
"487",23394.7367165779,7.77670091679433,0.379616240188569,20.4856907937641,2.88857466284941e-93,2.74044262885713e-92,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","meningitidis","487","Neisseria meningitidis 487"
"28116",8938.8889585945,-6.87595002261194,0.336717059513306,-20.4205573443487,1.09804364621025e-92,1.01569037274448e-91,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","ovatus","28116","Bacteroides ovatus 28116"
"1572656",2535.80589419728,-7.81576650942164,0.383853516284838,-20.3613258126883,3.68476881026852e-92,3.32527917024233e-91,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","Ruminococcaceae bacterium CPB6","1572656","Faecalibacterium Ruminococcaceae bacterium CPB6 1572656"
"2496265",464.598128664505,8.14782767153932,0.406750157367848,20.0315292420914,2.92535471699315e-89,2.5770982030654e-88,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Jeotgalibaca","sp. H21T32","2496265","Jeotgalibaca sp. H21T32 2496265"
