"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","OTU","Species2"
"821",3234.58101849888,0.502840211052479,0.425980604831474,1.1804298255584,0.23782930535882,0.998327184601421,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","vulgatus","821","Bacteroides vulgatus 821"
"290053",59.220742751557,-0.0147720571372938,0.504859262830525,-0.0292597526179341,0.976657425905898,0.998327184601421,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","helcogenes","290053","Bacteroides helcogenes 290053"
"28116",315.105520945797,0.211936052514841,0.446150016145888,0.475033161145375,0.63476333737308,0.998327184601421,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","ovatus","28116","Bacteroides ovatus 28116"
"817",1485.6985400895,-0.174006740221694,0.346410881761784,-0.502313147141125,0.615447262621111,0.998327184601421,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","fragilis","817","Bacteroides fragilis 817"
"246787",593.166111756209,0.311254091882894,0.520878201832589,0.59755637841595,0.550135977992954,0.998327184601421,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","cellulosilyticus","246787","Bacteroides cellulosilyticus 246787"
"357276",3086.51949429406,-0.798740222032503,0.55575545501127,-1.43721526227089,0.150656837629261,0.998327184601421,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","dorei","357276","Bacteroides dorei 357276"
"28119",866.560688834837,0.30601765750455,0.634426663906232,0.482353083365643,0.629555143782376,0.998327184601421,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","zoogleoformans","28119","Bacteroides zoogleoformans 28119"
"28113",261.047750328818,-0.365393427468277,0.39366114104117,-0.928192776411384,0.353307580814961,0.998327184601421,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","heparinolyticus","28113","Bacteroides heparinolyticus 28113"
"47678",4681.69930398518,-0.42190546250521,0.447611235182425,-0.942571207653583,0.345900272760296,0.998327184601421,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","caccae","47678","Bacteroides caccae 47678"
"376805",5471.94286912725,-0.563099064460482,0.387767897135512,-1.45215493242262,0.146458530653252,0.998327184601421,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","salanitronis","376805","Bacteroides salanitronis 376805"
"151276",291.931613387423,-0.131685495616859,0.469143348255041,-0.280693515333124,0.778945482896901,0.998327184601421,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","coprosuis","151276","Bacteroides coprosuis 151276"
"2025876",1705.75483092623,-0.349779773441219,0.337875234742668,-1.03523353437732,0.30055986140583,0.998327184601421,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","sp. CT06","2025876","Parabacteroides sp. CT06 2025876"
