"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","OTU","Species2"
"357276",38374.2317145748,4.49096408621513,0.679098656871948,6.61312467749726,3.76291266779008e-11,1.18531749035388e-08,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","dorei","357276","Bacteroides dorei 357276"
"376805",6826.49220776273,3.86380760165562,0.654027421018815,5.90771499402387,3.46885467854306e-09,5.46344611870532e-07,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","salanitronis","376805","Bacteroides salanitronis 376805"
"2319843",407.323403919281,4.35368415432677,0.782796112436061,5.56170896247569,2.67145546299867e-08,2.8050282361486e-06,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","sp. sh-6","2319843","Hymenobacter sp. sh-6 2319843"
"1884263",38.185518789636,3.42976232386019,0.692409208094194,4.95337480173085,7.29372932325699e-07,5.74381184206488e-05,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","sp. oral taxon 920","1884263","Selenomonas sp. oral taxon 920 1884263"
"1642646",64.9561232536035,3.12883782273543,0.655592696190039,4.77253306956986,1.81923225573198e-06,9.55096934259287e-05,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Petrimonas","mucosa","1642646","Petrimonas mucosa 1642646"
"354356",187.000181186845,-2.58039919120283,0.539100614538312,-4.78648905531798,1.69724190223652e-06,9.55096934259287e-05,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Niastella","koreensis","354356","Niastella koreensis 354356"
"290053",43328.5126355841,2.41613930939844,0.546961195389532,4.41738706468514,9.9901238134507e-06,0.000374565886344187,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","helcogenes","290053","Bacteroides helcogenes 290053"
"2025876",44461.9325215173,2.19347297261479,0.498235386226493,4.40248331060463,1.07018824669768e-05,0.000374565886344187,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","sp. CT06","2025876","Parabacteroides sp. CT06 2025876"
"1472345",574.980436402209,3.13323274321505,0.705665779219104,4.44010866827396,8.99134643508551e-06,0.000374565886344187,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Basilea","psittacipulmonis","1472345","Basilea psittacipulmonis 1472345"
"208479",6607.51233883985,2.01824786602453,0.462934314745643,4.35968516858259,1.3024969928243e-05,0.000410286552739655,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","[Clostridium] bolteae","208479","Lachnoclostridium [Clostridium] bolteae 208479"
"28113",11352.1160665402,2.64557518537852,0.609752156418979,4.3387713475517,1.43281499098501e-05,0.000410306111054799,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","heparinolyticus","28113","Bacteroides heparinolyticus 28113"
"1834196",3124.67729361004,1.83387880284732,0.440369246378252,4.16441161123255,3.12156525050777e-05,0.000819410878258289,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","sp. YL32","1834196","Lachnoclostridium sp. YL32 1834196"
"28251",202.041350653355,-2.69081911170947,0.656438479834547,-4.09911849224269,4.14726682153618e-05,0.00100491465291069,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Ornithobacterium","rhinotracheale","28251","Ornithobacterium rhinotracheale 28251"
"84112",281.529499856782,2.13325521858675,0.5315521127372,4.01325696478123,5.98866583184227e-05,0.00134744981216451,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","lenta","84112","Eggerthella lenta 84112"
"1406512",8.09667006121034,4.8528465209403,1.21986232799404,3.97819197263053,6.94412966236396e-05,0.00145826722909643,"Archaea","Euryarchaeota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae","Methanomassiliicoccus","Candidatus Methanomassiliicoccus intestinalis","1406512","Methanomassiliicoccus Candidatus Methanomassiliicoccus intestinalis 1406512"
"28119",9702.14393227684,2.35934966234002,0.600691196586598,3.92772472069996,8.57532827329862e-05,0.00168826775380567,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","zoogleoformans","28119","Bacteroides zoogleoformans 28119"
"39483",1001.97103198218,-2.6175617479346,0.681319318952759,-3.84190155059451,0.000122084806593479,0.00226215965158505,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea","cylindroides","39483","Faecalitalea cylindroides 39483"
"1834205",7080.20291915352,2.52949052175705,0.661630450046717,3.82311684956223,0.000131775292273356,0.00230606761478373,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Roseateles","Burkholderiales bacterium YL45","1834205","Roseateles Burkholderiales bacterium YL45 1834205"
"398743",22.3597846266623,2.44865859079896,0.707496827289207,3.46101706233943,0.000538138703581394,0.00892177324358626,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Zunongwangia","profunda","398743","Zunongwangia profunda 398743"
"29347",6023.95417670506,1.16957807043853,0.342409305016195,3.4157309784067,0.000636110562177306,0.00963174471212668,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","[Clostridium] scindens","29347","Lachnoclostridium [Clostridium] scindens 29347"
"33035",2153.04467422319,1.38989936786116,0.407216443964643,3.41317102602527,0.000642116314141779,0.00963174471212668,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","producta","33035","Blautia producta 33035"
"1622",96.65989071874,1.85308306834812,0.546075946998801,3.39345301424197,0.000690173973303695,0.00988203643593927,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","murinus","1622","Lactobacillus murinus 1622"
"83816",52.0925306566261,3.04622808138344,0.901652837812343,3.37849331098921,0.000728842055559651,0.00998196728266479,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","ruminantium","83816","Methanobrevibacter ruminantium 83816"
