"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","OTU","Species2"
"2319843",407.323403919281,4.89467079444591,0.75883369621876,6.45025493574662,1.11662156783738e-10,3.51735793868775e-08,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","sp. sh-6","2319843","Hymenobacter sp. sh-6 2319843"
"246787",17794.9780619552,3.44797923037816,0.560180543254691,6.15512136559608,7.50200228139688e-10,1.18156535932001e-07,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","cellulosilyticus","246787","Bacteroides cellulosilyticus 246787"
"290053",43328.5126355841,3.1279451173346,0.529814725395952,5.90384707596974,3.55121363222398e-09,3.72877431383517e-07,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","helcogenes","290053","Bacteroides helcogenes 290053"
"28123",489.423662293875,-3.22640122095583,0.561807857411922,-5.74289088055636,9.30737084360816e-09,7.32955453934143e-07,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","asaccharolytica","28123","Porphyromonas asaccharolytica 28123"
"357276",38374.2317145748,3.7153589398906,0.657798346929293,5.64817311754353,1.62161837426397e-08,9.98842805019935e-07,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","dorei","357276","Bacteroides dorei 357276"
"589437",133.99586770367,-4.10773725440964,0.73083139845269,-5.62063598130363,1.9025577238475e-08,9.98842805019935e-07,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","scopos","589437","Prevotella scopos 589437"
"817",26320.427193178,3.01250522510808,0.55822705357095,5.39655899125139,6.79310837550452e-08,3.05689876897704e-06,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","fragilis","817","Bacteroides fragilis 817"
"28119",9702.14393227684,3.06858911886073,0.581870420286541,5.2736640528137,1.33726603601731e-07,5.26548501681815e-06,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","zoogleoformans","28119","Bacteroides zoogleoformans 28119"
"1884263",38.185518789636,3.33883401321834,0.67044864148224,4.97999966982823,6.35843817151202e-07,2.22545336002921e-05,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","sp. oral taxon 920","1884263","Selenomonas sp. oral taxon 920 1884263"
"28113",11352.1160665402,2.82965184437673,0.590637498578546,4.79084353971209,1.66081599396331e-06,4.01174968840868e-05,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","heparinolyticus","28113","Bacteroides heparinolyticus 28113"
"376805",6826.49220776273,3.02764268378371,0.633492701917321,4.77928581437526,1.75918966215733e-06,4.01174968840868e-05,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","salanitronis","376805","Bacteroides salanitronis 376805"
"1642646",64.9561232536035,3.03273731667176,0.634917898083019,4.77658186330607,1.78299986151497e-06,4.01174968840868e-05,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Petrimonas","mucosa","1642646","Petrimonas mucosa 1642646"
"1834196",3124.67729361004,2.04726969519823,0.426577032787898,4.79929658148324,1.59223862454847e-06,4.01174968840868e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","sp. YL32","1834196","Lachnoclostridium sp. YL32 1834196"
"1472345",574.980436402209,3.29593300387033,0.683610113856832,4.82136372335853,1.42580110515727e-06,4.01174968840868e-05,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Basilea","psittacipulmonis","1472345","Basilea psittacipulmonis 1472345"
"28116",41229.430386504,2.86985377230361,0.605109490854846,4.74270163611107,2.10886753439297e-06,4.42862182222523e-05,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","ovatus","28116","Bacteroides ovatus 28116"
"159",45.646629924485,-5.24386215584609,1.11879159744312,-4.68707681379657,2.77134970901757e-06,5.45609473962833e-05,"Bacteria","Spirochaetes","Spirochaetia","Brachyspirales","Brachyspiraceae","Brachyspira","hyodysenteriae","159","Brachyspira hyodysenteriae 159"
"1406512",8.09667006121034,5.46182630242585,1.2019901431419,4.54398593331982,5.5200343111887e-06,0.00010228298870732,"Archaea","Euryarchaeota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae","Methanomassiliicoccus","Candidatus Methanomassiliicoccus intestinalis","1406512","Methanomassiliicoccus Candidatus Methanomassiliicoccus intestinalis 1406512"
"1513",102.938033818035,1.74759836456789,0.389365410588595,4.4883246355296,7.1785480677651e-06,0.000125624591185889,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","tetani","1513","Clostridium tetani 1513"
"29370",1107.10501910139,2.13962301925664,0.485848734002386,4.40388719680419,1.06328246021371e-05,0.000176281039456484,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","[Clostridium] sphenoides","29370","Lachnoclostridium [Clostridium] sphenoides 29370"
