"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","OTU","Species2"
"390884",50.3124319683249,4.27678840822061,0.794205059042122,5.38499265338196,7.24476074397573e-08,2.90514905833427e-05,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Echinicola","vietnamensis","390884","Echinicola vietnamensis 390884"
"331648",68.1951754498981,3.27664647408963,0.629045579320272,5.20891741681147,1.89945626096183e-07,3.80840980322846e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Nonlabens","spongiae","331648","Nonlabens spongiae 331648"
"1307",695.191478263707,-1.65390677603972,0.323812664279006,-5.10760374280687,3.26269971092937e-07,4.36114194694226e-05,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","suis","1307","Streptococcus suis 1307"
"1714849",105.961142601094,3.56115215741449,0.72891836177353,4.88552949708917,1.0315126076175e-06,0.000103409138913654,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aquimarina","sp. AD10","1714849","Aquimarina sp. AD10 1714849"
"76860",38012.4655293625,-1.43563007984751,0.320876911751101,-4.47408344842556,7.67397698022717e-06,0.000615452953814219,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","constellatus","76860","Streptococcus constellatus 76860"
"2420310",16016.583829789,-1.48209309679498,0.34061278487911,-4.35125503971029,1.35360491247465e-05,0.00090465928317056,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","sp. FDAARGOS_522","2420310","Streptococcus sp. FDAARGOS_522 2420310"
"1848904",126.499593789069,1.80386298053371,0.419163175908671,4.30348628937466,1.68131257296024e-05,0.000963151916795792,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","stomatis","1848904","Capnocytophaga stomatis 1848904"
"1336",69.2930439235158,-1.50311067955603,0.354846606165527,-4.2359449222261,2.27592564212395e-05,0.00101405131387967,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","equi","1336","Streptococcus equi 1336"
"1345",89.1624312864198,-1.69731344670979,0.399667551839933,-4.24681322988554,2.16832565880949e-05,0.00101405131387967,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","ferus","1345","Streptococcus ferus 1345"
"1798225",70.8649878134268,3.21038809668649,0.783385817322953,4.09809320732571,4.16567546651562e-05,0.00167043586207276,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Formosa","sp. Hel1_31_208","1798225","Formosa sp. Hel1_31_208 1798225"
"1945658",328.286711902615,2.35614980050378,0.579291281553803,4.06729718801223,4.75615711956656e-05,0.00173383545904199,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","sp. H4358","1945658","Capnocytophaga sp. H4358 1945658"
"480520",25.094903797755,3.41348438801602,0.856997542229247,3.98307371936769,6.80296415404121e-05,0.00227332385480877,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Myroides","profundi","480520","Myroides profundi 480520"
"480",109.329912518356,-2.84499089529294,0.718904421498998,-3.95739796586702,7.57706360664054e-05,0.00233723269712527,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","catarrhalis","480","Moraxella catarrhalis 480"
"2093856",53.8618101649747,1.65499780943837,0.445933005241752,3.71131490601633,0.000206185407710113,0.00486354991127973,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas","faecalis","2093856","Butyricimonas faecalis 2093856"
"1834196",390.835944156006,-1.55939625906563,0.417485705730383,-3.73520874526111,0.000187559542447475,0.00486354991127973,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","sp. YL32","1834196","Lachnoclostridium sp. YL32 1834196"
"1366",316.82392722181,-0.982987780216052,0.264141503905602,-3.72144386884141,0.000198086900552146,0.00486354991127973,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","raffinolactis","1366","Lactococcus raffinolactis 1366"
"1613",169.520183373936,1.92497108670237,0.516275967673638,3.7285700037063,0.000192569417293162,0.00486354991127973,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","fermentum","1613","Lactobacillus fermentum 1613"
"1264",204.592609173856,-1.55717080231589,0.422627204225709,-3.68450205463883,0.00022915017743926,0.00510495673073018,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","albus","1264","Ruminococcus albus 1264"
"2490633",180.545829420279,-2.1902723041007,0.597330882404773,-3.66676555426528,0.000245637811525851,0.00518425065378244,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","sp. KCOM 2412","2490633","Streptococcus sp. KCOM 2412 2490633"
