"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","OTU","Species2"
"1848904",126.499593789069,2.14816487025152,0.419403523839173,5.12195236365077,3.02388292041105e-07,6.06288525542416e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","stomatis","1848904","Capnocytophaga stomatis 1848904"
"1714849",105.961142601094,3.82654808752667,0.729216803389702,5.2474765662822,1.54196655518737e-07,6.06288525542416e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aquimarina","sp. AD10","1714849","Aquimarina sp. AD10 1714849"
"72",1840.34960994586,2.90645729131935,0.57768854070513,5.03118391057525,4.87460261651544e-07,6.5157188307423e-05,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Simonsiella","muelleri","72","Simonsiella muelleri 72"
"96942",92.8475125261218,1.52575657014875,0.377914219601192,4.03730923847973,5.40677780015741e-05,0.00542029474465781,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Vitreoscilla","sp. C1","96942","Vitreoscilla sp. C1 96942"
"1798225",70.8649878134268,3.09612572201077,0.782677481383112,3.95581295700426,7.62748231261837e-05,0.00611724081471993,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Formosa","sp. Hel1_31_208","1798225","Formosa sp. Hel1_31_208 1798225"
"489",140.758846527693,1.67243792626768,0.427525162779515,3.91190524411353,9.1570842187085e-05,0.00611998461950351,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","polysaccharea","489","Neisseria polysaccharea 489"
"1117645",86.23507716874,1.3141219154676,0.351338719448831,3.74032761754568,0.000183780552528775,0.00884853418272543,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Elizabethkingia","anophelis","1117645","Elizabethkingia anophelis 1117645"
"76860",38012.4655293625,-1.19960336197157,0.320877147897923,-3.73851291633016,0.000185111983891422,0.00884853418272543,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","constellatus","76860","Streptococcus constellatus 76860"
"326522",87.9281281982601,1.52482171040405,0.409810578309347,3.72079636571272,0.000198595530285608,0.00884853418272543,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","animaloris","326522","Neisseria animaloris 326522"
"2420310",16016.583829789,-1.25171864507505,0.340613318322793,-3.67489636411933,0.000237945980533537,0.00954163381939481,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","sp. FDAARGOS_522","2420310","Streptococcus sp. FDAARGOS_522 2420310"
"34061",55.0377828765882,3.24776268584628,0.890642687585974,3.64653831566182,0.000265796860435676,0.00968950373042784,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","cuniculi","34061","Moraxella cuniculi 34061"
