"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","OTU","Species2"
"2033844",73.2778856058486,-2.7133581440038,0.481389931823511,-5.63650787985027,1.73533099006831e-08,6.46267435579769e-06,"Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes","sp. SE50","2033844","Actinoplanes sp. SE50 2033844"
"712357",8149.33184105038,1.83940648221487,0.332905086788255,5.52531804173012,3.28889280193266e-08,6.46267435579769e-06,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","sp. oral taxon 212","712357","Leptotrichia sp. oral taxon 212 712357"
"1319",384.246501728712,-1.61900790265018,0.333626857548416,-4.85275050859844,1.21760831892157e-06,0.000159506689778725,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","sp. 'group B'","1319","Streptococcus sp. 'group B' 1319"
"2124",370.953347593086,-3.80829203132774,0.808951429419747,-4.70768935294347,2.50540517571937e-06,0.000196924846811542,"Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","salivarium","2124","Mycoplasma salivarium 2124"
"42817",61.0523688001052,-2.2778169256068,0.479951430068195,-4.74593215668334,2.07548274317315e-06,0.000196924846811542,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","argentoratense","42817","Corynebacterium argentoratense 42817"
"1334",1858.51191323949,-1.65716854961594,0.357180202319049,-4.63958679360309,3.49106495055471e-06,0.000200665573566492,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","dysgalactiae","1334","Streptococcus dysgalactiae 1334"
"2420310",16016.583829789,-1.54428028257679,0.333198127247906,-4.6347207750895,3.57419596683319e-06,0.000200665573566492,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","sp. FDAARGOS_522","2420310","Streptococcus sp. FDAARGOS_522 2420310"
"2485784",65.1919343417436,1.5877136305904,0.34830033408993,4.55846140584079,5.1529731319659e-06,0.000253139805107825,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix","sp. 15TAL0474","2485784","Erysipelothrix sp. 15TAL0474 2485784"
"1848904",126.499593789069,1.84865278508649,0.409937768193939,4.50959372011779,6.49518958666371e-06,0.000283623278617649,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","stomatis","1848904","Capnocytophaga stomatis 1848904"
"712710",1762.64500041773,1.53046329722493,0.352931766573769,4.33642829060851,1.44816641984299e-05,0.00054803079223933,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Tannerella","sp. oral taxon HOT-286","712710","Tannerella sp. oral taxon HOT-286 712710"
"39483",68.2561648653807,1.48802200960976,0.347118896596673,4.28677903795808,1.81282450359066e-05,0.00054803079223933,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea","cylindroides","39483","Faecalitalea cylindroides 39483"
"1392",304.355927528078,-1.05455639924157,0.245088510942505,-4.30275738012442,1.68685537245876e-05,0.00054803079223933,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","anthracis","1392","Bacillus anthracis 1392"
"1111760",100.95169476867,-2.24091518356835,0.520262578532316,-4.3072772788888,1.65276375507115e-05,0.00054803079223933,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","troglodytae","1111760","Streptococcus troglodytae 1111760"
"236753",77.0245914693506,1.33497880660114,0.316478808325443,4.21822495371744,2.46233095820756e-05,0.000691211476125409,"Bacteria","Firmicutes","Clostridia","Clostridiales","Hungateiclostridiaceae","Fastidiosipila","sanguinis","236753","Fastidiosipila sanguinis 236753"
"1583098",1567.37315776081,1.59869307276476,0.385505222341857,4.14700756335558,3.36848939201937e-05,0.000882544220709074,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","hwasookii","1583098","Fusobacterium hwasookii 1583098"
