"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","OTU","Species2"
"39488",128.678374981937,2.01134836683649,0.379008843697878,5.30686394336437,1.11527359627031e-07,4.47224712104396e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium","[Eubacterium] hallii","39488","Eubacterium [Eubacterium] hallii 39488"
"2124",370.953347593086,-4.06125415599803,0.786766599350296,-5.16195547618795,2.44383423782508e-07,4.89988764683928e-05,"Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","salivarium","2124","Mycoplasma salivarium 2124"
"1945658",328.286711902615,-2.73385035204198,0.550952872921325,-4.96204028766789,6.97565215443187e-07,9.3241217130906e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","sp. H4358","1945658","Capnocytophaga sp. H4358 1945658"
"1834196",390.835944156006,1.91502670041988,0.397174014828296,4.8216313981361,1.42388878479199e-06,0.0001253444970832,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","sp. YL32","1834196","Lachnoclostridium sp. YL32 1834196"
"860",19194.1550345382,1.81553871552349,0.377999370383131,4.80302047509579,1.56289896612468e-06,0.0001253444970832,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","periodonticum","860","Fusobacterium periodonticum 860"
"633807",66.4293416700733,1.23521250236091,0.274677336942074,4.4969581987079,6.89325338059797e-06,0.000426678459696709,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus","penaei","633807","Vagococcus penaei 633807"
"42817",61.0523688001052,-2.09034615658368,0.466547275299029,-4.48045946735815,7.44825241365827e-06,0.000426678459696709,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","argentoratense","42817","Corynebacterium argentoratense 42817"
"390884",50.3124319683249,-3.17486496257881,0.757627925453046,-4.19053318379243,2.7829970789809e-05,0.00099767940092118,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Echinicola","vietnamensis","390884","Echinicola vietnamensis 390884"
"208479",388.057018464667,1.54346741461833,0.371322206903578,4.15667952501187,3.22906448660128e-05,0.00099767940092118,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","[Clostridium] bolteae","208479","Lachnoclostridium [Clostridium] bolteae 208479"
"617123",8869.97631228835,1.26454773614238,0.308635314191683,4.09722309144769,4.18135889387714e-05,0.00099767940092118,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum","umeaense","617123","Lachnoanaerobaculum umeaense 617123"
"1505",183.539981312011,1.87348204825987,0.455748911379734,4.11077679283554,3.94330257341409e-05,0.00099767940092118,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Paeniclostridium","sordellii","1505","Paeniclostridium sordellii 1505"
"853",181.593288808452,1.31091820212474,0.319818517710634,4.09894402459469,4.15039386991856e-05,0.00099767940092118,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii","853","Faecalibacterium prausnitzii 853"
"236753",77.0245914693506,1.28463056032523,0.308152233337698,4.16881794563348,3.06183425136815e-05,0.00099767940092118,"Bacteria","Firmicutes","Clostridia","Clostridiales","Hungateiclostridiaceae","Fastidiosipila","sanguinis","236753","Fastidiosipila sanguinis 236753"
"79209",53.6552734641621,2.4490068297554,0.580655736620757,4.21765716809737,2.46853753548078e-05,0.00099767940092118,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfosporosinus","meridiei","79209","Desulfosporosinus meridiei 79209"
"2485784",65.1919343417436,1.3945540218307,0.339337196938094,4.10964089529246,3.96274873535669e-05,0.00099767940092118,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix","sp. 15TAL0474","2485784","Erysipelothrix sp. 15TAL0474 2485784"
"43771",947.755610287547,-1.73562621138956,0.410496610671532,-4.22811337845214,2.35659038701945e-05,0.00099767940092118,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","urealyticum","43771","Corynebacterium urealyticum 43771"
"1539298",10089.6321861283,-2.60607844822402,0.636472145093889,-4.09456795291424,4.22956354505238e-05,0.00099767940092118,"Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema","sp. OMZ 838","1539298","Treponema sp. OMZ 838 1539298"
