"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","OTU","Species2"
"1785996",1260.97972890149,2.70865912753186,0.512663990298272,5.28349792220816,1.26740302038576e-07,5.0822861117469e-05,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","sp. oral taxon 847","1785996","Leptotrichia sp. oral taxon 847 1785996"
"2487063",48.4713740237987,-2.59353757333972,0.590360284963056,-4.39314371138976,1.11723219676958e-05,0.00108504539261948,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Chryseobacterium","sp. G0162","2487063","Chryseobacterium sp. G0162 2487063"
"208479",388.057018464667,1.6524357099084,0.371274636118058,4.45070993048648,8.55868816093611e-06,0.00108504539261948,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","[Clostridium] bolteae","208479","Lachnoclostridium [Clostridium] bolteae 208479"
"649756",783.742613284384,1.52992327878991,0.358304073062623,4.26990200170713,1.95558873856526e-05,0.00108504539261948,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes","hadrus","649756","Anaerostipes hadrus 649756"
"617123",8869.97631228835,1.32763970913605,0.308633138517802,4.3016758197515,1.69511191496819e-05,0.00108504539261948,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum","umeaense","617123","Lachnoanaerobaculum umeaense 617123"
"29322",222.875605749357,1.48306199302043,0.337401150033055,4.39554516300591,1.10495086471535e-05,0.00108504539261948,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium","[Eubacterium] cellulosolvens","29322","Eubacterium [Eubacterium] cellulosolvens 29322"
"39483",68.2561648653807,1.43462338917731,0.337781739329115,4.24719048468011,2.16467908752016e-05,0.00108504539261948,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea","cylindroides","39483","Faecalitalea cylindroides 39483"
"489",140.758846527693,-1.7402438536119,0.406722389650652,-4.2787018809234,1.87986442541316e-05,0.00108504539261948,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","polysaccharea","489","Neisseria polysaccharea 489"
"1111760",100.95169476867,-2.11923525230962,0.505613122007008,-4.19141663866913,2.77218045470071e-05,0.00117126107511027,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","troglodytae","1111760","Streptococcus troglodytae 1111760"
"712368",2024.9640754745,1.90865600661401,0.456665309496566,4.17955112184488,2.92085056137224e-05,0.00117126107511027,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","sp. oral taxon 498","712368","Leptotrichia sp. oral taxon 498 712368"
"633807",66.4293416700733,1.12817872265084,0.274610695630017,4.10828398385048,3.98609787843737e-05,0.00145311386295762,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus","penaei","633807","Vagococcus penaei 633807"
"2121",130.045988732606,2.61634551164001,0.644905331732081,4.05694507845525,4.97187675846031e-05,0.00164794811898621,"Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","orale","2121","Mycoplasma orale 2121"
"492",136.678169614265,-1.60381962353862,0.396973648916273,-4.04011608306245,5.3424751987084e-05,0.00164794811898621,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","animalis","492","Neisseria animalis 492"
"1714849",105.961142601094,-2.73086983586486,0.694130165742199,-3.9342330453898,8.34627738249257e-05,0.0021235201698026,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aquimarina","sp. AD10","1714849","Aquimarina sp. AD10 1714849"
"51161",175.76794852033,2.20008167181904,0.559729680292788,3.93061463288529,8.47289843312759e-05,0.0021235201698026,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","delphinicola","51161","Actinobacillus delphinicola 51161"
"42817",61.0523688001052,-1.83387724487017,0.465601042670299,-3.93873096665028,8.19137170676847e-05,0.0021235201698026,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","argentoratense","42817","Corynebacterium argentoratense 42817"
"639310",15.9471824481993,1.56713246447637,0.405474035381319,3.8649391273663,0.000111116908509121,0.00247543779511985,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Olleya","aquimaris","639310","Olleya aquimaris 639310"
"198",46.7144646836133,2.09189243415353,0.539341835231748,3.87860221014502,0.000105058384553963,0.00247543779511985,"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","hyointestinalis","198","Campylobacter hyointestinalis 198"
"72",1840.34960994586,-2.0854436848922,0.549389956012175,-3.79592612145604,0.000147093301321569,0.00310444283315521,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Simonsiella","muelleri","72","Simonsiella muelleri 72"
"1702221",158.78210283488,1.32403560635684,0.350895373011792,3.77330597149922,0.000161098516056834,0.00323002524693952,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalibaculum","rodentium","1702221","Faecalibaculum rodentium 1702221"
"290053",78.2338443602918,1.29083356490064,0.343832754816541,3.75424838622308,0.000173862392512547,0.00331994378083482,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","helcogenes","290053","Bacteroides helcogenes 290053"
"1679721",542.094815345532,1.34668102098428,0.359906645713024,3.74175091520281,0.000182742595796667,0.00333089913247561,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Herbinix","luporum","1679721","Herbinix luporum 1679721"
"28251",270.913506369932,-2.02769031158851,0.550810813655914,-3.681282686028,0.000232063535833002,0.00372229911476135,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Ornithobacterium","rhinotracheale","28251","Ornithobacterium rhinotracheale 28251"
"490",9285.76222037561,-1.45398742998915,0.393717155072013,-3.69297454088127,0.000221646220162176,0.00372229911476135,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","sicca","490","Neisseria sicca 490"
"483",1114.69378839028,-1.70179048056293,0.46101120163929,-3.69142978416058,0.000222996961003791,0.00372229911476135,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","cinerea","483","Neisseria cinerea 483"
"2485784",65.1919343417436,1.24254916325518,0.339346142115482,3.6615980235082,0.000250646923385101,0.00381503053035476,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix","sp. 15TAL0474","2485784","Erysipelothrix sp. 15TAL0474 2485784"
"172042",257.072478535084,-1.93969183027537,0.532009973782507,-3.6459689213803,0.000266386171695594,0.00381503053035476,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","aeria","172042","Rothia aeria 172042"
"1853276",259.683475308521,-1.23748135612862,0.33882025111455,-3.6523240628561,0.000259877640822639,0.00381503053035476,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","sp. 10022","1853276","Neisseria sp. 10022 1853276"
"495",8717.03995424553,-1.22327806451669,0.342423322124348,-3.57241456839927,0.000353704888933699,0.0048908848435315,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","elongata","495","Neisseria elongata 495"
